"H","diameter","albedo","e","a","q","i","om","w","ma","ad","n","per_y","data_arc","n_obs_used"
12.82,7.802,0.201,0.200208729825713,3.12630230389076,2.50038929057759,17.6601158206187,182.456418296447,162.432885389554,109.98019151015,3.75221531720393,0.178302576112387,5.52782974232688,12644,4206
14.15,8.446,0.062,0.173660084703884,2.75403595418132,2.27576983710065,8.40159309358228,52.2214957701481,76.8829449826671,257.826268327331,3.232302071262,0.215650100724969,4.57048839789127,11340,2853
16.11,3.42,0.05,0.129347710198126,3.22182827435488,2.8050921644155,8.17464165040155,218.410289328807,64.7692175082464,230.871792143795,3.63856438429426,0.170431745197238,5.78311442053771,8368,226
15.85,4.359,0.057,0.21884832993935,2.32034745869041,1.812543292477,23.3667238262996,50.6175324942483,304.852446859795,65.7142421242642,2.82815162490382,0.278852498184227,3.53457935570078,10320,1512
15.08,4.8,0.092,0.0967859446038669,3.25119810900475,2.93652782893042,4.0992140910959,316.575093566015,133.782241521869,275.672676412792,3.56586838907908,0.168127565108624,5.86237172191699,10159,1068
14.75,4.28,0.184,0.196306737936035,2.31639244681693,1.86166900180262,4.59416131502408,59.5930476693581,310.995539664187,52.0088400113961,2.77111589183123,0.27956697268997,3.52554621843897,20029,5402
14.24,8.355,0.053,0.104130999190731,3.24497471610627,2.90707225656947,6.38070413983124,53.8645457102188,330.304107196794,76.7757841972729,3.58287717564308,0.168611463521067,5.84554728833375,17270,2509
15.17,2.751,0.256,0.137244442648869,2.80353854704194,2.41876846170855,8.36021617579366,60.8868010991252,258.127752391256,143.302841628205,3.18830863237533,0.209963728472124,4.6942692937481,17268,1526
14.69,5.017,0.087,0.185137431674872,3.17314544377167,2.58567744598096,4.52847700985552,82.8198157452845,264.114685160346,191.031218934511,3.76061344156238,0.174368931259837,5.65253383298437,23917,1555
15.61,5.612,0.043,0.161234700871066,4.021898953294,3.37342927862599,3.26964565516631,149.574315036854,295.948675015919,46.3588792865689,4.67036862796201,0.122196098869466,8.06593903149425,8768,264
14.16,9.478,0.054,0.0945614192138302,3.09000354916534,2.79780842818049,2.58634523718596,130.735087744715,297.866637045212,78.9619141703601,3.38219867015019,0.181453607347287,5.43183625708335,12612,3163
11.07,40.152,0.052,0.0765968566633759,2.60626606132258,2.40663427339683,7.92816214674264,118.739033682081,70.5535447385163,85.9108490312931,2.80589784924833,0.23424803196275,4.20761820327392,35861,6678
16.42,4.737,0.054,0.0546882412398309,3.03812463460837,2.87197494167423,17.0456092847654,192.475999864761,127.782676255953,198.610533357659,3.2042743275425,0.186121136003556,5.29561716917914,8555,298
17.26,1.992,0.026,0.160263191610573,2.61642838519741,2.19711122156518,2.92314967360386,134.659180450247,126.655635762499,294.425683310238,3.03574554882964,0.232884613388028,4.23225162465038,7677,248
15.47,2.51,0.233,0.114610872781317,2.56588118690613,2.27180330462165,2.31308924056625,346.739576363082,303.846064514367,287.852516157365,2.8599590691906,0.239800044933098,4.1102005783299,12073,1832
16.05,4.55,0.031,0.185798142452693,2.58491748104989,2.10464461467733,11.7245718613484,311.239945596293,233.447776206605,169.996849308155,3.06519034742246,0.237155962790985,4.15602572993801,9708,803
14.93,3.388,0.244,0.106984474080753,2.6209119534623,2.34051506650917,13.3672330507446,259.42149652,357.296137218853,117.318900245303,2.90130884041542,0.232287278912234,4.24313500069006,9663,2035
17.45,1.946,0.061,0.204779342399534,2.63181352768926,2.09287248417086,10.4658651143196,230.08290446513,168.20090335524,330.076297906207,3.17075457120767,0.230845493902746,4.2696362259633,4788,111
17.59,2.179,0.078,0.337443625860991,2.75245944550879,1.82365955018097,12.0515442137785,201.172856843007,55.0550982448245,222.511860780787,3.68125934083661,0.215835402054925,4.56656449305169,8936,176
16.36,3.974,0.039,0.0669385128713346,2.8035667568608,2.61590016742102,4.80167363754171,36.7071052088545,4.80321053668205,318.697824113138,2.99123334630057,0.209960559460454,4.69434014607491,9296,384
15.04,5.327,0.023,0.120554840269102,3.37853012217584,2.97123196295259,14.8604580234401,298.311420320066,101.544443582598,330.574369734475,3.7858282813991,0.15871295618373,6.21011861329438,10423,600
16.46,3.372,0.032,0.180592155563978,3.12964361521799,2.56445452859873,27.1391503287967,32.6857821431708,118.074368325301,281.965420879438,3.69483270183725,0.178017109723384,5.53669411271252,5896,147
16.04,2.794,0.099,0.188378274882853,2.69926344054657,2.19078085016205,7.63134010622522,338.019434399141,144.210220998067,266.348331569951,3.20774603093109,0.222247131882488,4.43482116065598,9008,589
12.28,18.081,0.094,0.0365081976789338,3.19021554061595,3.07374652102074,22.8208532979577,98.2471503775263,219.521935330524,358.186548228325,3.30668456021116,0.17297129402373,5.69820725994186,15802,7836
16.01,2.326,0.171,0.199601291549665,3.10689043682739,2.48675109293334,8.00083524390083,273.032194637311,105.368614174457,315.48688612607,3.72702978072144,0.17997623667513,5.47642456346436,7642,413
16.06,3.844,0.036,0.155781364044112,2.64064539749328,2.22928205551497,16.3568176049628,119.690364159679,331.179350096152,128.093679944206,3.05200873947159,0.229688338347107,4.29114638758051,10057,628
